id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4,location.latitude,location.longitude,location.human_address
13383320,JH169690,2024-02-29T00:00:00.000,011XX S STATE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA TRAIN,True,False,0123,001,4,32,26,1176517,1895340,2024,2024-03-07T15:41:23.000,41.868165405,-87.62743954,48,14913,38,12,10,35,22,144,9,41.868165405,-87.62743954,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383971,JH170493,2024-02-29T00:00:00.000,035XX S RHODES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0212,002,4,35,14,1180161,1881775,2024,2024-03-07T15:41:23.000,41.830859172,-87.614478749,1,21194,1,561,10,36,24,101,9,41.830859172,-87.614478749,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384053,JH170444,2024-02-29T00:00:00.000,025XX W 115TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,2212,022,19,75,26,1161328,1827954,2024,2024-03-07T15:41:23.000,41.683578042,-87.685066062,33,4447,74,379,42,33,9,257,19,41.683578042,-87.685066062,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384677,JH171112,2024-02-29T00:00:00.000,017XX W NORTH SHORE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2432,024,49,1,07,1163632,1944557,2024,2024-03-07T15:41:23.000,42.003500665,-87.673351733,3,21853,10,242,5,9,11,41,49,42.003500665,-87.673351733,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13388106,JH175477,2024-02-29T00:00:00.000,079XX S ELLIS AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,False,True,0624,006,8,44,08B,1184272,1852481,2024,2024-03-07T15:41:23.000,41.750378603,-87.600311872,9,21546,40,247,35,61,20,227,10,41.750378603,-87.600311872,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384048,JH170672,2024-02-29T00:00:00.000,011XX W LUNT AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,2431,024,49,1,26,1167009,1946661,2024,2024-03-07T15:41:23.000,42.009201971,-87.660867106,3,21853,10,267,5,9,11,39,49,42.009201971,-87.660867106,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383976,JH170500,2024-02-29T00:00:00.000,019XX W WOLFRAM ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1931,019,32,5,06,1163020,1918940,2024,2024-03-07T15:41:23.000,41.933219451,-87.676325969,16,4449,46,649,40,22,5,172,32,41.933219451,-87.676325969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383499,JH169801,2024-02-29T00:00:00.000,069XX S DAMEN AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0735,007,17,67,07,1164219,1858818,2024,2024-03-07T15:41:23.000,41.768213543,-87.673617146,17,22257,65,283,31,23,17,7,17,41.768213543,-87.673617146,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384023,JH170649,2024-02-29T00:00:00.000,100XX W BALMORAL AVE,0810,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,False,False,1650,016,41,76,06,1108491,1934242,2024,2024-03-07T15:41:23.000,41.976182125,-87.876421145,34,16197,75,,29,38,12,40,41,41.976182125,-87.876421145,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13389327,JH176883,2024-02-29T00:00:00.000,011XX N DEARBORN ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1824,018,2,8,06,1175731,1907908,2024,2024-03-07T15:41:23.000,41.902670403,-87.629946882,22,14926,37,230,11,54,14,197,2,41.902670403,-87.629946882,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383559,JH169894,2024-02-29T00:00:00.000,053XX S PULASKI RD,1330,CRIMINAL TRESPASS,TO LAND,COMMERCIAL / BUSINESS OFFICE,True,False,0815,008,23,62,26,1150608,1868908,2024,2024-03-07T15:41:23.000,41.796177739,-87.723246029,35,22248,60,793,6,56,13,105,23,41.796177739,-87.723246029,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383352,JH169700,2024-02-28T23:58:00.000,090XX S DAUPHIN AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",RESIDENCE,True,False,0633,006,8,44,08B,1183733,1845372,2024,2024-03-07T15:41:23.000,41.730883317,-87.602508224,9,21546,43,429,35,61,20,248,10,41.730883317,-87.602508224,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383349,JH169698,2024-02-28T23:56:00.000,032XX W 55TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,BAR OR TAVERN,False,False,0822,008,14,63,04A,1155548,1867964,2024,2024-03-07T15:41:23.000,41.793489634,-87.70515582,49,22248,61,776,8,56,13,129,14,41.793489634,-87.70515582,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383356,JH169707,2024-02-28T23:55:00.000,032XX W 55TH ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,0822,008,14,63,08B,1155548,1867964,2024,2024-03-07T15:41:23.000,41.793489634,-87.70515582,49,22248,61,776,8,56,13,129,14,41.793489634,-87.70515582,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383369,JH169695,2024-02-28T23:42:00.000,020XX N MILWAUKEE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,1431,014,1,22,06,1159682,1913243,2024,2024-03-07T15:41:23.000,41.917656022,-87.688750258,24,22535,23,294,41,1,7,184,1,41.917656022,-87.688750258,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383420,JH169675,2024-02-28T23:40:00.000,017XX W 35TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0912,009,11,59,08B,1165103,1881505,2024,2024-03-07T15:41:23.000,41.830450748,-87.66973487,26,14924,56,721,1,43,23,165,7,41.830450748,-87.66973487,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383331,JH169694,2024-02-28T23:30:00.000,080XX S WOODLAWN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,0411,004,8,45,08B,1185606,1852027,2024,2024-03-07T15:41:23.000,41.749101491,-87.595437814,9,21546,41,133,35,61,19,224,10,41.749101491,-87.595437814,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
